 

stn;time;rre150z0;rco150z0
OBR;202306151930;0.0;0
OBR;202306151940;0.0;0
OBR;202306151950;0.0;0
OBR;202306152000;0.0;0
OBR;202306152010;0.0;0
OBR;202306152020;0.0;0
OBR;202306152030;0.0;0
OBR;202306152040;0.0;0
OBR;202306152050;0.0;0
OBR;202306152100;0.0;0
OBR;202306152110;0.0;0
OBR;202306152120;0.0;0
OBR;202306152130;0.0;0
OBR;202306152140;0.0;0
OBR;202306152150;0.0;0
OBR;202306152200;0.0;0
OBR;202306152210;0.0;0
OBR;202306152220;0.0;0
OBR;202306152230;0.0;0
OBR;202306152240;0.0;0
OBR;202306152250;0.0;0
OBR;202306152300;0.0;0
OBR;202306152310;0.0;0
OBR;202306152320;0.0;0
OBR;202306152330;0.0;0
OBR;202306152340;0.0;0
OBR;202306152350;0.0;0
OBR;202306160000;0.0;0
OBR;202306160010;0.0;0
OBR;202306160020;0.0;0
OBR;202306160030;0.0;0
OBR;202306160040;0.0;0
OBR;202306160050;0.0;0
OBR;202306160100;0.0;0
OBR;202306160110;0.0;0
OBR;202306160120;0.0;0
OBR;202306160130;0.0;0
OBR;202306160140;0.0;0
OBR;202306160150;0.0;0
OBR;202306160200;0.0;0
OBR;202306160210;0.0;0
OBR;202306160220;0.0;0
OBR;202306160230;0.0;0
OBR;202306160240;0.0;0
OBR;202306160250;0.0;0
OBR;202306160300;0.0;0
OBR;202306160310;0.0;0
OBR;202306160320;0.0;0
OBR;202306160330;0.0;0
OBR;202306160340;0.0;0
OBR;202306160350;0.0;0
OBR;202306160400;0.0;0
OBR;202306160410;0.0;0
OBR;202306160420;0.0;0
OBR;202306160430;0.0;0
OBR;202306160440;0.0;0
OBR;202306160450;0.0;0
OBR;202306160500;0.0;0
OBR;202306160510;0.0;0
OBR;202306160520;0.0;0
OBR;202306160530;0.0;0
OBR;202306160540;0.0;0
OBR;202306160550;0.0;0
OBR;202306160600;0.0;0
OBR;202306160610;0.0;0
OBR;202306160620;0.0;0
OBR;202306160630;0.0;0
OBR;202306160640;0.0;0
OBR;202306160650;0.0;0
OBR;202306160700;0.0;0
OBR;202306160710;0.0;0
OBR;202306160720;0.0;0
OBR;202306160730;0.0;0
OBR;202306160740;0.0;0
OBR;202306160750;0.0;0
OBR;202306160800;0.0;0
OBR;202306160810;0.0;0
OBR;202306160820;0.0;0
OBR;202306160830;0.0;0
OBR;202306160840;0.0;0
OBR;202306160850;0.0;0
OBR;202306160900;0.0;0
OBR;202306160910;0.0;0
OBR;202306160920;0.0;0
OBR;202306160930;0.0;0
OBR;202306160940;0.0;0
OBR;202306160950;0.0;0
OBR;202306161000;0.0;0
OBR;202306161010;0.0;0
OBR;202306161020;0.0;0
OBR;202306161030;0.0;0
OBR;202306161040;0.0;0
OBR;202306161050;0.0;0
OBR;202306161100;0.0;0
OBR;202306161110;0.0;0
OBR;202306161120;0.0;0
OBR;202306161130;0.0;0
OBR;202306161140;0.0;0
OBR;202306161150;0.0;0
OBR;202306161200;0.0;0
OBR;202306161210;0.0;0
OBR;202306161220;0.0;0
OBR;202306161230;0.0;0
OBR;202306161240;0.0;0
OBR;202306161250;0.0;0
OBR;202306161300;0.0;0
OBR;202306161310;0.0;0
OBR;202306161320;0.0;0
OBR;202306161330;0.0;0
OBR;202306161340;0.0;0
OBR;202306161350;0.0;0
OBR;202306161400;0.0;0
OBR;202306161410;0.0;0
OBR;202306161420;0.0;0
OBR;202306161430;0.0;0
OBR;202306161440;0.0;0
OBR;202306161450;0.0;0
OBR;202306161500;0.0;0
OBR;202306161510;0.0;0
OBR;202306161520;0.0;0
OBR;202306161530;0.0;0
OBR;202306161540;0.0;0
OBR;202306161550;0.0;0
OBR;202306161600;0.0;0
OBR;202306161610;0.0;0
OBR;202306161620;0.0;0
OBR;202306161630;0.0;0
OBR;202306161640;0.0;0
OBR;202306161650;0.0;0
OBR;202306161700;0.0;0
OBR;202306161710;0.0;0
