 

stn;time;rre150z0
CHU;202007061340;0.0
CHU;202007061350;0.0
CHU;202007061400;0.0
CHU;202007061410;0.0
CHU;202007061420;0.0
CHU;202007061430;0.0
CHU;202007061440;0.0
CHU;202007061450;0.0
CHU;202007061500;0.0
CHU;202007061510;0.0
CHU;202007061520;0.0
CHU;202007061530;0.0
CHU;202007061540;0.0
CHU;202007061550;0.0
CHU;202007061600;0.0
CHU;202007061610;0.0
CHU;202007061620;0.0
CHU;202007061630;0.0
CHU;202007061640;0.0
CHU;202007061650;0.0
CHU;202007061700;0.0
CHU;202007061710;0.0
CHU;202007061720;0.0
CHU;202007061730;0.0
CHU;202007061740;0.0
CHU;202007061750;0.0
CHU;202007061800;0.0
CHU;202007061810;0.0
CHU;202007061820;0.0
CHU;202007061830;0.0
CHU;202007061840;0.0
CHU;202007061850;0.0
CHU;202007061900;0.0
CHU;202007061910;0.0
CHU;202007061920;0.0
CHU;202007061930;0.0
CHU;202007061940;0.0
CHU;202007061950;0.0
CHU;202007062000;0.0
CHU;202007062010;0.0
CHU;202007062020;0.0
CHU;202007062030;0.0
CHU;202007062040;0.0
CHU;202007062050;0.0
CHU;202007062100;0.0
CHU;202007062110;0.0
CHU;202007062120;0.0
CHU;202007062130;0.0
CHU;202007062140;0.0
CHU;202007062150;0.0
CHU;202007062200;0.0
CHU;202007062210;0.0
CHU;202007062220;0.0
CHU;202007062230;0.0
CHU;202007062240;0.0
CHU;202007062250;0.0
CHU;202007062300;0.0
CHU;202007062310;0.0
CHU;202007062320;0.0
CHU;202007062330;0.0
CHU;202007062340;0.0
CHU;202007062350;0.0
CHU;202007070000;0.0
CHU;202007070010;0.0
CHU;202007070020;0.0
CHU;202007070030;0.0
CHU;202007070040;0.0
CHU;202007070050;0.0
CHU;202007070100;0.0
CHU;202007070110;0.0
CHU;202007070120;0.0
CHU;202007070130;0.0
CHU;202007070140;0.0
CHU;202007070150;0.0
CHU;202007070200;0.0
CHU;202007070210;0.0
CHU;202007070220;0.0
CHU;202007070230;0.0
CHU;202007070240;0.0
CHU;202007070250;0.0
CHU;202007070300;0.0
CHU;202007070310;0.0
CHU;202007070320;0.0
CHU;202007070330;0.0
CHU;202007070340;0.0
CHU;202007070350;0.0
CHU;202007070400;0.0
CHU;202007070410;0.0
CHU;202007070420;0.0
CHU;202007070430;0.0
CHU;202007070440;0.0
CHU;202007070450;0.0
CHU;202007070500;0.0
CHU;202007070510;0.0
CHU;202007070520;0.0
CHU;202007070530;0.0
CHU;202007070540;0.0
CHU;202007070550;0.0
CHU;202007070600;0.0
CHU;202007070610;0.0
CHU;202007070620;0.0
CHU;202007070630;0.0
CHU;202007070640;0.0
CHU;202007070650;0.0
CHU;202007070700;0.0
CHU;202007070710;0.0
CHU;202007070720;0.0
CHU;202007070730;0.0
CHU;202007070740;0.0
CHU;202007070750;0.0
CHU;202007070800;0.0
CHU;202007070810;0.0
CHU;202007070820;0.0
CHU;202007070830;0.0
CHU;202007070840;0.0
CHU;202007070850;0.0
CHU;202007070900;0.0
CHU;202007070910;0.0
CHU;202007070920;0.0
CHU;202007070930;0.0
CHU;202007070940;0.0
CHU;202007070950;0.0
CHU;202007071000;0.0
CHU;202007071010;0.0
CHU;202007071020;0.0
CHU;202007071030;0.0
CHU;202007071040;0.0
CHU;202007071050;0.0
CHU;202007071100;0.0
CHU;202007071110;0.0
CHU;202007071120;0.0
CHU;202007071130;0.0
CHU;202007071140;0.0
CHU;202007071150;0.0
CHU;202007071200;0.0
CHU;202007071210;0.0
CHU;202007071220;0.0
CHU;202007071230;0.0
CHU;202007071240;0.0
CHU;202007071250;0.0
CHU;202007071300;0.0
CHU;202007071310;0.0
CHU;202007071320;0.0
CHU;202007071330;0.0
CHU;202007071340;0.0
CHU;202007071350;0.0
CHU;202007071400;0.0
CHU;202007071410;0.0
CHU;202007071420;0.0
CHU;202007071430;0.0
CHU;202007071440;0.0
CHU;202007071450;0.0
CHU;202007071500;0.0
CHU;202007071510;0.0
CHU;202007071520;0.0
CHU;202007071530;0.0
CHU;202007071540;0.0
