datetime,valid,discharge(L/min),temperature(C),precipitation(mm)
2020-07-17 14:00:00+00:00,False,,15.716666666666667,0.3
2020-07-17 15:00:00+00:00,False,,16.566666666666666,0.0
2020-07-17 16:00:00+00:00,False,,16.916666666666668,0.0
2020-07-17 17:00:00+00:00,False,,15.716666666666667,0.0
2020-07-17 18:00:00+00:00,False,,14.766666666666666,0.0
2020-07-17 19:00:00+00:00,False,,14.816666666666668,0.0
2020-07-17 20:00:00+00:00,False,,14.299999999999999,0.0
2020-07-17 21:00:00+00:00,False,,13.450000000000001,0.0
2020-07-17 22:00:00+00:00,False,,13.25,0.0
2020-07-17 23:00:00+00:00,False,,12.966666666666667,0.0
2020-07-18 00:00:00+00:00,False,,12.6,0.0
2020-07-18 01:00:00+00:00,False,,12.783333333333333,0.0
2020-07-18 02:00:00+00:00,False,,12.200000000000001,0.0
2020-07-18 03:00:00+00:00,False,,11.916666666666666,0.0
2020-07-18 04:00:00+00:00,False,,12.016666666666666,0.0
2020-07-18 05:00:00+00:00,False,,13.483333333333334,0.0
2020-07-18 06:00:00+00:00,False,,14.916666666666666,0.0
2020-07-18 07:00:00+00:00,False,,15.833333333333334,0.0
2020-07-18 08:00:00+00:00,False,,17.7,0.0
2020-07-18 09:00:00+00:00,False,,18.55,0.0
2020-07-18 10:00:00+00:00,False,,19.8,0.0
2020-07-18 11:00:00+00:00,False,,20.650000000000002,0.0
2020-07-18 12:00:00+00:00,False,,21.133333333333333,1.0
2020-07-18 13:00:00+00:00,False,,21.616666666666664,1.5
2020-07-18 14:00:00+00:00,False,,22.066666666666666,0.0
2020-07-18 15:00:00+00:00,False,,21.71666666666667,0.0
2020-07-18 16:00:00+00:00,False,,21.599999999999998,0.0
2020-07-18 17:00:00+00:00,False,,19.3,0.0
2020-07-18 18:00:00+00:00,False,,17.716666666666665,0.0
2020-07-18 19:00:00+00:00,False,,16.966666666666665,0.0
2020-07-18 20:00:00+00:00,False,,16.650000000000002,0.0
2020-07-18 21:00:00+00:00,False,,15.766666666666666,0.0
2020-07-18 22:00:00+00:00,False,,14.833333333333334,0.0
2020-07-18 23:00:00+00:00,False,,15.433333333333332,0.0
2020-07-19 00:00:00+00:00,False,,15.4,0.0
2020-07-19 01:00:00+00:00,False,,14.383333333333333,0.0
2020-07-19 02:00:00+00:00,False,,13.766666666666666,0.0
2020-07-19 03:00:00+00:00,False,,13.416666666666666,0.0
2020-07-19 04:00:00+00:00,False,,13.283333333333333,0.0
2020-07-19 05:00:00+00:00,False,,14.616666666666667,0.0
2020-07-19 06:00:00+00:00,False,,16.533333333333335,0.0
2020-07-19 07:00:00+00:00,False,,17.95,0.0
